"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	495917	75547486	656.4
	"1 year"	"1"	33908	75281381	45.0
	"2 years"	"2"	22048	75163305	29.3
	"3 years"	"3"	16493	75226224	21.9
	"4 years"	"4"	13332	75577489	17.6
	"5 years"	"5"	11505	75853421	15.2
	"6 years"	"6"	10334	75990929	13.6
	"7 years"	"7"	9829	76425815	12.9
	"8 years"	"8"	9753	76770590	12.7
	"9 years"	"9"	9656	77466293	12.5
	"10 years"	"10"	9956	78872625	12.6
	"11 years"	"11"	10667	78789379	13.5
	"12 years"	"12"	11778	79235276	14.9
	"13 years"	"13"	14343	79346581	18.1
	"14 years"	"14"	18375	79410926	23.1
	"15 years"	"15"	24346	79800826	30.5
	"16 years"	"16"	35428	80356853	44.1
	"17 years"	"17"	44859	80626235	55.6
	"18 years"	"18"	58746	81128837	72.4
	"19 years"	"19"	65803	81765803	80.5
	"20 years"	"20"	68588	81447554	84.2
	"21 years"	"21"	74893	81288896	92.1
	"22 years"	"22"	75497	80868996	93.4
	"23 years"	"23"	75814	80319339	94.4
	"24 years"	"24"	76764	79977389	96.0
	"25 years"	"25"	76852	79705824	96.4
	"26 years"	"26"	77758	78669628	98.8
	"27 years"	"27"	78562	78497501	100.1
	"28 years"	"28"	79934	78018698	102.5
	"29 years"	"29"	82298	77693387	105.9
	"30 years"	"30"	83857	78408765	106.9
	"31 years"	"31"	87108	77471806	112.4
	"32 years"	"32"	90619	77996303	116.2
	"33 years"	"33"	94509	77746934	121.6
	"34 years"	"34"	100038	78172882	128.0
	"35 years"	"35"	106412	78866798	134.9
	"36 years"	"36"	112161	78945996	142.1
	"37 years"	"37"	120569	79286188	152.1
	"38 years"	"38"	129301	79541123	162.6
	"39 years"	"39"	139519	80272145	173.8
	"40 years"	"40"	151614	80944601	187.3
	"41 years"	"41"	164941	81303987	202.9
	"42 years"	"42"	179963	82098371	219.2
	"43 years"	"43"	196724	82355254	238.9
	"44 years"	"44"	214289	82599601	259.4
	"45 years"	"45"	232741	82902377	280.7
	"46 years"	"46"	254109	82640005	307.5
	"47 years"	"47"	274489	82380934	333.2
	"48 years"	"48"	295385	81461980	362.6
	"49 years"	"49"	319521	81143708	393.8
	"50 years"	"50"	344721	80604645	427.7
	"51 years"	"51"	370524	80053981	462.8
	"52 years"	"52"	398153	79667576	499.8
	"53 years"	"53"	420142	77619241	541.3
	"54 years"	"54"	443525	76229039	581.8
	"55 years"	"55"	468400	74115125	632.0
	"56 years"	"56"	491842	72483791	678.6
	"57 years"	"57"	514777	70131950	734.0
	"58 years"	"58"	536506	67753052	791.9
	"59 years"	"59"	558174	65248693	855.5
	"60 years"	"60"	580093	62667863	925.7
	"61 years"	"61"	599559	60380864	993.0
	"62 years"	"62"	625178	58033193	1077.3
	"63 years"	"63"	648474	55385764	1170.8
	"64 years"	"64"	671714	53099702	1265.0
	"65 years"	"65"	691446	50842223	1360.0
	"66 years"	"66"	712636	48588191	1466.7
	"67 years"	"67"	740373	46475370	1593.0
	"68 years"	"68"	768270	44369876	1731.5
	"69 years"	"69"	801158	42337428	1892.3
	"70 years"	"70"	831859	40183522	2070.1
	"71 years"	"71"	861246	38054142	2263.2
	"72 years"	"72"	906630	36508912	2483.3
	"73 years"	"73"	951780	35038530	2716.4
	"74 years"	"74"	995046	33535000	2967.2
	"75 years"	"75"	1039690	31743838	3275.2
	"76 years"	"76"	1085713	30355182	3576.7
	"77 years"	"77"	1140366	28940107	3940.4
	"78 years"	"78"	1192607	27553808	4328.3
	"79 years"	"79"	1244149	26031671	4779.4
	"80 years"	"80"	1292935	24424498	5293.6
	"81 years"	"81"	1334788	22893296	5830.5
	"82 years"	"82"	1377472	21239241	6485.5
	"83 years"	"83"	1402172	19588588	7158.1
	"84 years"	"84"	1428014	17918411	7969.5
	"85 years"	"85"	1436215	Not Applicable	Not Applicable
	"86 years"	"86"	1430317	Not Applicable	Not Applicable
	"87 years"	"87"	1404296	Not Applicable	Not Applicable
	"88 years"	"88"	1358241	Not Applicable	Not Applicable
	"89 years"	"89"	1293967	Not Applicable	Not Applicable
	"90 years"	"90"	1211022	Not Applicable	Not Applicable
	"91 years"	"91"	1107507	Not Applicable	Not Applicable
	"92 years"	"92"	993646	Not Applicable	Not Applicable
	"93 years"	"93"	866012	Not Applicable	Not Applicable
	"94 years"	"94"	735788	Not Applicable	Not Applicable
	"95 years"	"95"	608359	Not Applicable	Not Applicable
	"96 years"	"96"	485845	Not Applicable	Not Applicable
	"97 years"	"97"	376431	Not Applicable	Not Applicable
	"98 years"	"98"	283496	Not Applicable	Not Applicable
	"99 years"	"99"	205643	Not Applicable	Not Applicable
	"100+ years"	"100"	415384	Not Applicable	Not Applicable
	"Not Stated"	"NS"	4363	Not Applicable	Not Applicable
